q46;q60;q66;q102;q117;q119;t102
0;2;2;2;3;5;1300
6;1;2;2;3;6;1300
5;1;1;2;3;5;1300
4;3;1;2;3;4;1300
5;1;1;2;3;10;1300
2;2;2;1;0;1;1300
77;8;5;2;3;10;1300
9;1;5;2;3;4;1300
6;1;1;2;3;6;1300
5;2;2;2;3;8;1300
8;1;1;2;3;9;1300
5;4;2;2;3;8;1300
0;1;2;2;77;0;1300
5;1;2;2;3;0;1300
0;2;5;1;0;0;1300
4;2;4;1;3;9;1300
7;1;1;1;3;6;1300
8;3;1;2;3;8;1300
3;1;2;1;3;8;1300
10;1;1;2;3;10;1300
0;1;8;2;3;6;1300
88;2;1;2;3;7;1300
5;2;2;2;3;8;1300
5;1;2;1;3;4;1300
8;1;1;1;88;77;1300
7;2;2;2;3;5;1300
10;1;2;2;3;7;1300
6;2;1;1;3;3;1300
6;2;2;2;3;5;1300
0;1;5;1;0;0;1300
2;1;1;1;3;5;1300
5;1;5;2;0;0;1300
5;4;2;2;3;4;1300
5;2;2;2;0;77;1300
5;1;1;1;3;0;1300
0;1;1;1;3;4;1300
10;5;2;2;3;10;1300
9;2;2;2;3;6;1300
77;1;1;2;3;10;1300
4;2;4;2;3;7;1300
5;1;2;1;3;8;1300
5;2;4;2;0;10;1300
5;2;2;1;3;6;1300
10;4;1;2;3;10;1300
0;5;1;2;3;10;1300
10;1;1;2;3;10;1300
5;5;1;2;3;9;1300
5;2;3;2;3;3;1300
5;1;1;1;0;0;1300
0;1;2;2;3;3;1300
0;1;4;1;0;0;1300
0;1;2;1;3;5;1300
8;3;2;2;3;8;1300
5;2;2;2;3;7;1300
5;1;1;2;3;10;1300
7;2;2;2;3;8;1300
6;2;2;2;3;10;1300
4;2;1;2;0;5;1300
3;2;2;2;3;7;1300
3;1;8;2;3;5;1300
3;1;8;1;0;0;1300
5;2;1;2;3;7;1300
10;5;1;2;3;9;1300
1;1;7;2;3;5;1300
0;3;1;2;3;9;1300
5;1;2;1;3;6;1300
2;1;1;1;0;0;1300
5;2;2;1;3;5;1300
5;3;2;1;3;10;1300
4;4;2;2;3;7;1300
6;2;2;1;3;6;1300
4;2;2;1;3;6;1300
2;1;1;2;3;8;1300
4;1;2;2;3;9;1300
4;2;1;1;3;4;1300
8;1;3;2;3;5;1300
5;2;4;2;3;6;1300
77;1;1;2;3;8;1300
5;2;2;2;3;5;1300
2;2;4;1;3;5;1300
0;2;4;2;0;0;1300
7;1;1;2;3;10;1300
77;5;1;1;77;77;1300
5;1;1;2;3;8;1300
88;2;2;2;3;8;1300
10;4;1;1;3;9;1300
10;4;3;1;3;1;1300
5;1;8;1;3;1;1300
7;1;1;2;3;5;1300
8;3;4;2;3;2;1300
2;1;1;1;3;0;1300
3;1;5;1;3;9;1300
5;2;2;1;3;5;1300
4;1;2;2;3;7;1300
7;4;2;1;3;3;1300
5;2;2;2;3;6;1300
10;1;1;1;3;10;1300
77;5;3;2;3;8;1300
6;1;1;2;3;8;1300
77;2;2;2;3;7;1300
5;1;1;1;3;10;1300
88;2;8;2;3;0;1300
6;1;1;2;3;5;1300
5;1;3;1;3;7;1300
5;2;2;2;3;5;1300
4;1;2;2;3;6;1300
5;4;1;2;3;10;1300
9;2;2;2;3;8;1300
5;7;2;2;3;10;1300
88;2;2;2;3;10;1300
1;2;2;2;3;7;1300
5;2;3;2;0;5;1300
5;5;1;2;3;10;1300
7;1;4;2;3;8;1300
10;1;1;1;5;0;1300
5;1;1;2;3;7;1300
10;1;1;2;3;10;1300
9;5;1;2;3;7;1300
6;4;1;2;2;10;1300
5;1;1;1;3;8;1300
8;2;1;2;3;8;1300
2;2;5;1;0;0;1300
4;1;8;1;3;3;1300
10;3;1;2;3;7;1300
0;1;1;2;0;0;1300
4;1;1;2;0;8;1300
0;1;1;2;3;6;1300
5;1;1;2;3;5;1300
8;2;2;1;3;7;1300
7;2;2;1;3;8;1300
0;1;5;1;3;10;1300
5;2;3;2;3;6;1300
7;2;3;1;0;1;1300
5;3;3;1;3;6;1300
5;1;2;2;3;8;1300
5;2;2;1;3;5;1300
3;1;2;2;3;5;1300
9;2;4;1;3;9;1300
5;1;2;1;3;5;1300
5;2;1;1;3;10;1300
5;2;4;1;3;7;1300
5;1;1;1;3;5;1300
5;2;4;1;3;8;1300
0;1;1;1;3;10;1300
7;2;4;2;3;7;1300
5;4;1;1;3;7;1300
10;1;1;2;3;9;1300
5;1;1;2;3;10;1300
7;1;4;1;3;1;1300
2;1;8;1;0;10;1300
10;8;3;1;3;6;1300
5;4;2;2;3;8;1300
6;1;1;2;8;7;1300
5;1;1;1;3;7;1300
1;4;2;2;3;5;1300
3;5;2;2;3;5;1300
5;1;2;2;0;0;1300
9;1;2;2;3;6;1300
0;4;2;1;0;0;1300
5;1;1;1;0;6;1300
3;8;5;1;3;6;1300
5;1;1;2;3;10;1300
0;1;1;1;0;10;1300
10;5;1;2;3;8;1300
10;1;1;1;3;7;1300
3;4;1;1;3;8;1300
6;4;1;2;8;10;1300
0;1;3;2;0;0;1300
8;1;1;2;3;7;1300
5;4;7;1;3;8;1300
0;1;2;2;0;0;1300
5;4;1;2;3;8;1300
0;4;2;1;3;10;1300
0;4;2;2;3;8;1300
5;1;2;1;3;5;1300
0;2;2;2;3;5;1300
8;2;2;2;3;7;1300
5;2;4;2;3;8;1300
5;2;3;2;3;77;1300
8;4;1;2;3;6;1300
5;4;2;2;3;10;1300
3;1;1;2;3;5;1300
8;2;1;2;3;6;1300
3;1;1;2;3;8;1300
4;5;1;2;3;10;1300
10;5;1;1;3;0;1300
5;2;1;2;3;5;1300
7;2;2;2;3;6;1300
7;2;3;2;0;2;1300
9;4;2;1;3;10;1300
0;2;4;2;3;8;1300
2;2;2;1;3;5;1300
0;2;2;1;0;5;1300
7;2;3;1;3;5;1300
2;2;1;1;3;6;1300
0;1;4;2;3;10;1300
77;1;1;1;3;8;1300
5;1;1;1;3;0;1300
1;1;1;1;3;5;1300
7;2;1;1;3;2;1300
5;1;1;1;3;8;1300
5;2;2;1;3;5;1300
88;2;1;1;3;5;1300
5;1;4;2;0;6;1300
5;2;1;2;3;10;1300
10;5;1;2;3;10;1300
5;1;1;1;3;8;1300
5;1;1;2;3;8;1300
5;4;2;1;3;5;1300
5;2;4;2;3;8;1300
4;2;4;1;77;0;1300
7;2;2;1;3;2;1300
8;1;1;2;3;10;1300
77;1;1;1;3;6;1300
0;1;1;1;3;7;1300
5;1;2;1;3;7;1300
5;4;2;1;3;2;1300
5;2;4;1;3;7;1300
10;4;2;2;3;5;1300
77;2;4;1;3;7;1300
7;1;1;1;3;8;1300
5;1;1;1;3;10;1300
7;2;1;2;3;8;1300
7;1;5;2;3;0;1300
6;1;4;1;3;6;1300
7;2;2;1;3;8;1300
5;3;2;1;3;7;1300
7;4;2;2;3;10;1300
5;1;3;2;0;0;1300
10;2;2;1;3;10;1300
3;1;1;1;3;8;1300
5;2;2;1;3;6;1300
3;2;2;1;3;6;1300
8;1;1;2;3;6;1300
7;1;4;1;3;2;1300
5;2;1;2;3;8;1300
5;2;2;1;3;8;1300
5;1;1;2;3;6;1300
5;1;1;2;3;5;1300
5;1;2;2;3;8;1300
0;1;1;2;3;8;1300
7;2;2;2;88;88;1300
5;2;2;1;3;6;1300
5;1;1;2;3;3;1300
5;2;1;2;3;5;1300
5;3;2;2;3;7;1300
5;1;1;2;3;5;1300
5;2;2;2;3;5;1300
5;1;1;2;3;8;1300
7;7;2;1;3;10;1300
0;2;2;1;3;10;1300
6;2;1;1;3;8;1300
77;4;3;1;3;5;1300
5;4;2;1;0;7;1300
5;4;2;2;3;9;1300
3;1;1;1;3;5;1300
7;2;2;2;3;7;1300
5;2;1;1;3;10;1300
5;1;1;1;3;10;1300
0;1;1;1;3;10;1300
3;2;2;1;3;7;1300
0;2;2;1;0;0;1300
3;2;1;2;3;10;1300
9;1;1;1;3;8;1300
7;3;2;2;3;10;1300
5;2;2;2;3;6;1300
4;2;2;2;3;4;1300
77;2;1;2;3;7;1300
3;5;1;1;3;9;1300
1;1;5;1;3;0;1300
77;5;4;2;3;77;1300
3;1;1;2;3;8;1300
8;1;1;1;3;4;1300
5;2;7;2;3;6;1300
0;5;1;2;1;7;1300
8;1;1;1;3;10;1300
8;2;1;2;3;7;1300
0;1;5;1;3;0;1300
5;1;1;2;3;8;1300
3;1;2;2;3;5;1300
5;1;1;1;3;10;1300
8;5;1;2;3;9;1300
5;2;4;2;3;5;1300
5;1;4;2;3;8;1300
10;4;1;2;3;10;1300
5;2;2;1;3;10;1300
4;3;2;1;3;6;1300
3;1;1;2;77;77;1300
10;2;2;2;3;5;1300
4;1;2;1;3;5;1300
3;1;2;2;3;6;1300
9;2;4;1;3;7;1300
2;1;2;1;3;0;1300
8;3;2;2;3;8;1300
5;1;2;2;3;6;1300
6;2;1;2;3;8;1300
4;1;3;2;3;8;1300
0;1;2;2;3;10;1300
8;2;2;1;3;9;1300
6;1;1;2;3;5;1300
7;2;1;1;3;7;1300
0;5;1;2;3;10;1300
5;1;1;1;3;7;1300
5;5;2;1;3;8;1300
0;1;1;2;3;10;1300
3;1;2;1;0;2;1300
3;1;4;1;0;0;1300
5;4;7;1;3;7;1300
8;4;2;2;3;77;1300
5;2;2;1;3;4;1300
5;2;8;1;3;10;1300
0;1;1;2;3;2;1300
5;2;2;1;3;7;1300
8;5;2;1;3;8;1300
0;2;2;1;3;7;1300
5;1;2;2;3;9;1300
5;2;2;2;3;10;1300
9;2;2;2;3;7;1300
0;2;2;1;3;7;1300
8;1;2;1;3;6;1300
3;2;4;1;77;0;1300
6;2;1;1;3;8;1300
8;8;1;1;3;8;1300
5;2;2;1;3;5;1300
4;1;4;2;3;4;1300
5;5;5;1;3;1;1300
0;2;2;1;3;8;1300
5;2;2;1;3;7;1300
5;2;1;2;3;8;1300
5;1;1;2;3;6;1300
4;1;1;1;3;3;1300
5;1;1;2;3;8;1300
7;1;2;2;3;10;1300
0;2;2;1;3;10;1300
77;2;3;1;3;5;1300
0;2;8;1;0;0;1300
8;2;4;2;3;8;1300
